country,continent,max_pop
Afghanistan,Asia,25268405
Albania,Europe,3508512
Algeria,Africa,31287142
Angola,Africa,10866106
Argentina,Americas,38331121
Australia,Oceania,19546792
Austria,Europe,8148312
Bahrain,Asia,656397
Bangladesh,Asia,135656790
Belgium,Europe,10311970
Benin,Africa,7026113
Bolivia,Americas,8445134
Bosnia and Herzegovina,Europe,4165416
Botswana,Africa,1630347
Brazil,Americas,179914212
Bulgaria,Europe,7661799
Burkina Faso,Africa,12251209
Burundi,Africa,7021078
Cambodia,Asia,12926707
Cameroon,Africa,15929988
Canada,Americas,31902268
Central African Republic,Africa,4048013
Chad,Africa,8835739
Chile,Americas,15497046
China,Asia,12804e5
Colombia,Americas,41008227
Comoros,Africa,614382
"Congo, Dem. Rep.",Africa,55379852
"Congo, Rep.",Africa,3328795
Costa Rica,Americas,3834934
Cote d'Ivoire,Africa,16252726
Croatia,Europe,4481020
Cuba,Americas,11226999
Czech Republic,Europe,10256295
Denmark,Europe,5374693
Djibouti,Africa,447416
Dominican Republic,Americas,8650322
Ecuador,Americas,12921234
Egypt,Africa,73312559
El Salvador,Americas,6353681
Equatorial Guinea,Africa,495627
Eritrea,Africa,4414865
Ethiopia,Africa,67946797
Finland,Europe,5193039
France,Europe,59925035
Gabon,Africa,1299304
Gambia,Africa,1457766
Germany,Europe,82350671
Ghana,Africa,20550751
Greece,Europe,10603863
Guatemala,Americas,11178650
Guinea,Africa,8807818
Guinea-Bissau,Africa,1332459
Haiti,Americas,7607651
Honduras,Americas,6677328
"Hong Kong, China",Asia,6762476
Hungary,Europe,10083313
Iceland,Europe,288030
India,Asia,1034172547
Indonesia,Asia,21106e4
Iran,Asia,66907826
Iraq,Asia,24001816
Ireland,Europe,3879155
Israel,Asia,6029529
Italy,Europe,57926999
Jamaica,Americas,2664659
Japan,Asia,127065841
Jordan,Asia,5307470
Kenya,Africa,31386842
"Korea, Dem. Rep.",Asia,22215365
"Korea, Rep.",Asia,47969150
Kuwait,Asia,2111561
Lebanon,Asia,3677780
Lesotho,Africa,2046772
Liberia,Africa,2814651
Libya,Africa,5368585
Madagascar,Africa,16473477
Malawi,Africa,11824495
Malaysia,Asia,22662365
Mali,Africa,10580176
Mauritania,Africa,2828858
Mauritius,Africa,1200206
Mexico,Americas,102479927
Mongolia,Asia,2674234
Montenegro,Europe,720230
Morocco,Africa,31167783
Mozambique,Africa,18473780
Myanmar,Asia,45598081
Namibia,Africa,1972153
Nepal,Asia,25873917
Netherlands,Europe,16122830
New Zealand,Oceania,3908037
Nicaragua,Americas,5146848
Niger,Africa,11140655
Nigeria,Africa,119901274
Norway,Europe,4535591
Oman,Asia,2713462
Pakistan,Asia,153403524
Panama,Americas,2990875
Paraguay,Americas,5884491
Peru,Americas,26769436
Philippines,Asia,82995088
Poland,Europe,38625976
Portugal,Europe,10433867
Puerto Rico,Americas,3859606
Reunion,Africa,743981
Romania,Europe,22404337
Rwanda,Africa,7852401
Sao Tome and Principe,Africa,170372
Saudi Arabia,Asia,24501530
Senegal,Africa,10870037
Serbia,Europe,10111559
Sierra Leone,Africa,5359092
Singapore,Asia,4197776
Slovak Republic,Europe,5410052
Slovenia,Europe,2011497
Somalia,Africa,7753310
South Africa,Africa,44433622
Spain,Europe,40152517
Sri Lanka,Asia,19576783
Sudan,Africa,37090298
Swaziland,Africa,1130269
Sweden,Europe,8954175
Switzerland,Europe,7361757
Syria,Asia,17155814
Taiwan,Asia,22454239
Tanzania,Africa,34593779
Thailand,Asia,62806748
Togo,Africa,4977378
Trinidad and Tobago,Americas,1101832
Tunisia,Africa,9770575
Turkey,Europe,67308928
Uganda,Africa,24739869
United Kingdom,Europe,59912431
United States,Americas,287675526
Uruguay,Americas,3363085
Venezuela,Americas,24287670
Vietnam,Asia,80908147
West Bank and Gaza,Asia,3389578
"Yemen, Rep.",Asia,18701257
Zambia,Africa,10595811
Zimbabwe,Africa,11926563
